,Light     ,Circle    ,Other     ,Fireball  ,Triangle  ,Sphere    ,Disk      ,Formation ,Oval      ,Changing  ,Flash     ,Rectangle ,Diamond   ,Cylinder  ,Cigar     ,Chevron   ,Teardrop  ,Cross     ,Cone      ,Egg       
January,94,54,39,38,34,27,21,20,19,14,10,9,8,8,6,6,4,2,2,1
February,98,46,16,36,48,25,8,16,7,8,21,5,1,7,9,4,4,0,5,1
March,74,49,25,44,43,21,26,19,19,9,15,8,5,3,7,2,4,2,0,2
April,76,72,21,42,36,35,24,19,19,5,6,9,4,5,11,5,4,1,2,5
May,80,52,23,30,38,25,14,21,15,11,8,7,4,3,7,6,1,4,0,1
June,73,72,18,28,30,27,7,10,20,11,11,12,7,14,9,5,2,0,2,2
July,104,65,40,72,49,30,17,16,13,15,13,12,0,7,8,5,8,2,3,2
August,100,58,29,30,41,26,17,12,21,13,11,14,3,2,10,5,2,1,0,5
September,96,52,34,29,56,24,18,16,20,9,15,11,11,6,11,7,3,2,1,5
October,111,59,32,30,46,32,19,20,12,4,3,6,13,3,7,3,11,3,5,1
November,113,55,29,34,47,20,16,20,13,15,8,7,6,6,8,11,5,3,1,3
December,53,30,14,13,21,10,13,5,7,5,5,2,1,4,3,7,1,2,0,2
